Day ,Month,Year,Case type,No,Day,Month.1,Year.1,Day.1,Month.2,Year.2,Outcome,Day.2,Month.3,Year.3,(Enter free text),Audit Date,Registered,Date_Last_in_Court,Code/Year
31,5,2024,RRC,116,2,2,2022,7,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-02,2022-03-07,116/2022
31,5,2024,RRC,117,1,2,2022,2,2,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-01,2022-02-02,117/2022
31,5,2024,RRC,118,2,2,2022,3,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-02,2022-03-03,118/2022
31,5,2024,RRC,119,2,2,2022,3,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-02,2022-03-03,119/2022
31,5,2024,RRC,122,2,2,2022,3,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-02,2022-03-03,122/2022
31,5,2024,RRC,123,2,2,2022,3,3,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-02,2022-03-03,123/2022
31,5,2024,RRC,125,3,2,2022,25,4,2022,Active,,,,Recommended for dismissal,2024-05-31,2022-02-03,2022-04-25,125/2022
31,5,2024,RRC,126,2,2,2022,3,2,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-02-02,2022-02-03,126/2022
31,5,2024,RRC,127,3,2,2022,11,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-02-03,2022-03-11,127/2022
31,5,2024,RRC,130,3,2,2022,8,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-02-03,2022-03-08,130/2022
31,5,2024,RRC,136,4,2,2022,8,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-02-04,2022-03-08,136/2022
31,5,2024,RRC,146,8,2,2022,24,2,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-02-08,2022-02-24,146/2022
31,5,2024,RRC,E022,10,1,2022,12,1,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-01-10,2022-01-12,E022/2022
31,5,2024,RRC,E056 ,14,1,2022,20,1,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-01-14,2022-01-20,E056 /2022
31,5,2024,RRC,E057,17,1,2022,13,4,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-01-17,2022-04-13,E057/2022
31,5,2024,RRC,E058,17,1,2022,9,2,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-01-17,2022-02-09,E058/2022
31,5,2024,RRC,E059,17,1,2022,19,4,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-01-17,2022-04-19,E059/2022
31,5,2024,RRC,E061,17,1,2022,20,1,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-01-17,2022-01-20,E061/2022
31,5,2024,RRC,E028,11,1,2022,13,1,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-01-11,2022-01-13,E028/2022
31,5,2024,RRC,E029,11,1,2022,12,1,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-01-11,2022-01-12,E029/2022
31,5,2024,RRC,E290,11,3,2022,30,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-11,2022-03-30,E290/2022
31,5,2024,RRC,E292,14,3,2022,14,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-14,2022-03-14,E292/2022
31,5,2024,RRC,E250,2,3,2022,9,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-02,2022-03-09,E250/2022
31,5,2024,RRC,E251,3,3,2022,22,6,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-03,2022-06-22,E251/2022
31,5,2024,RRC,E252,3,3,2022,5,7,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-03,2022-07-05,E252/2022
31,5,2024,RRC,E254,3,3,2022,22,2,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-03,2022-02-22,E254/2022
31,5,2024,RRC,E258,4,3,2022,8,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-04,2022-03-08,E258/2022
31,5,2024,RRC,E259,4,3,2022,9,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-04,2022-03-09,E259/2022
31,5,2024,RRC,E261,4,3,2022,14,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-04,2022-03-14,E261/2022
31,5,2024,RRC,E263,7,3,2022,9,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-07,2022-03-09,E263/2022
31,5,2024,RRC,E265,7,3,2022,7,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-07,2022-03-07,E265/2022
31,5,2024,RRC,E266,7,3,2022,18,4,2023,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-07,2023-04-18,E266/2022
31,5,2024,RRC,E269,8,3,2022,9,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-08,2022-03-09,E269/2022
31,5,2024,RRC,E270,8,3,2022,8,6,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-08,2022-06-08,E270/2022
31,5,2024,RRC,E271,8,3,2022,23,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-08,2022-03-23,E271/2022
31,5,2024,RRC,E273,8,3,2022,24,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-08,2022-03-24,E273/2022
31,5,2024,RRC,E274,8,3,2022,11,10,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-08,2022-10-11,E274/2022
31,5,2024,RRC,E275,8,3,2022,29,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-08,2022-03-29,E275/2022
31,5,2024,RRC,E235,28,2,2022,8,6,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-02-28,2022-06-08,E235/2022
31,5,2024,RRC,E236,28,2,2022,3,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-02-28,2022-03-03,E236/2022
31,5,2024,RRC,E238,1,3,2022,3,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-01,2022-03-03,E238/2022
31,5,2024,RRC,E239,1,3,2022,3,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-01,2022-03-03,E239/2022
31,5,2024,RRC,E240,1,3,2022,15,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-01,2022-03-15,E240/2022
31,5,2024,RRC,E278,9,3,2022,14,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-09,2022-03-14,E278/2022
31,5,2024,RRC,E280,9,3,2022,14,3,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-09,2022-03-14,E280/2022
31,5,2024,RRC,E282,9,3,2022,16,11,2022,Active:Interparty hearing,,,,Recommended for dismissal,2024-05-31,2022-03-09,2022-11-16,E282/2022
31,5,2024,RRC,24,8,1,2019,9,4,2019,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2019-01-08,2019-04-09,24/2019
31,5,2024,RRC,26,8,1,2019,27,8,2019,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2019-01-08,2019-08-27,26/2019
31,5,2024,RRC,28,8,1,2019,12,1,2022,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2019-01-08,2022-01-12,28/2019
31,5,2024,RRC,29,8,1,2019,12,3,2019,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2019-01-08,2019-03-12,29/2019
31,5,2024,RRC,30,8,1,2019,11,3,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-08,2019-03-11,30/2019
31,5,2024,RRC,33,9,1,2019,28,2,2019,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2019-01-09,2019-02-28,33/2019
31,5,2024,RRC,34,9,1,2019,10,1,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-09,2019-01-10,34/2019
31,5,2024,RRC,35,9,1,2019,26,2,2019,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2019-01-09,2019-02-26,35/2019
31,5,2024,RRC,37,10,1,2019,26,2,2019,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2019-01-10,2019-02-26,37/2019
31,5,2024,RRC,40,10,1,2019,3,2,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-10,2019-02-03,40/2019
31,5,2024,RRC,42,10,1,2019,4,3,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-10,2019-03-04,42/2019
31,5,2024,RRC,43,10,1,2019,13,7,2020,Active,,,,Recommended for dismissal,2024-05-31,2019-01-10,2020-07-13,43/2019
31,5,2024,RRC,44,10,1,2019,18,6,2019,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2019-01-10,2019-06-18,44/2019
31,5,2024,RRC,45,11,1,2019,27,2,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-11,2019-02-27,45/2019
31,5,2024,RRC,47,10,1,2019,11,1,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-10,2019-01-11,47/2019
31,5,2024,RRC,48,10,1,2019,26,2,2019,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2019-01-10,2019-02-26,48/2019
31,5,2024,RRC,49,11,1,2019,11,1,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-11,2019-01-11,49/2019
31,5,2024,RRC,50,11,1,2019,6,2,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-11,2019-02-06,50/2019
31,5,2024,RRC,51,11,1,2019,17,10,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-11,2019-10-17,51/2019
31,5,2024,RRC,52,11,1,2019,17,4,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-11,2019-04-17,52/2019
31,5,2024,RRC,54,11,1,2019,14,1,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-11,2019-01-14,54/2019
31,5,2024,RRC,57,11,1,2019,10,4,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-11,2019-04-10,57/2019
31,5,2024,RRC,58,15,1,2019,15,2,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-15,2019-02-15,58/2019
31,5,2024,RRC,62,15,1,2019,15,1,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-15,2019-01-15,62/2019
31,5,2024,RRC,63,15,1,2019,13,1,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-15,2019-01-13,63/2019
31,5,2024,RRC,65,15,1,2019,13,8,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-15,2019-08-13,65/2019
31,5,2024,RRC,66,15,1,2019,28,2,2019,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2019-01-15,2019-02-28,66/2019
31,5,2024,RRC,67,15,1,2019,14,10,2019,Active: S.O.G,,,,Recommended for dismissal,2024-05-31,2019-01-15,2019-10-14,67/2019
31,5,2024,RRC,91,17,1,2019,9,4,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-17,2019-04-09,91/2019
31,5,2024,RRC,92,17,1,2019,11,4,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-17,2019-04-11,92/2019
31,5,2024,RRC,93,18,1,2019,18,1,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-18,2019-01-18,93/2019
31,5,2024,RRC,94,17,1,2019,3,4,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-17,2019-04-03,94/2019
31,5,2024,RRC,95,24,1,2019,18,3,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-24,2019-03-18,95/2019
31,5,2024,RRC,96,18,1,2019,28,5,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-18,2019-05-28,96/2019
31,5,2024,RRC,97,18,1,2019,13,2,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-18,2019-02-13,97/2019
31,5,2024,RRC,98,18,1,2019,18,2,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-18,2019-02-18,98/2019
31,5,2024,RRC,99,25,6,2019,19,11,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-06-25,2019-11-19,99/2019
31,5,2024,RRC,100,18,1,2019,23,4,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-18,2019-04-23,100/2019
31,5,2024,RRC,101,21,1,2019,9,4,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-21,2019-04-09,101/2019
31,5,2024,RRC,102,21,1,2019,2,4,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-21,2019-04-02,102/2019
31,5,2024,RRC,103,21,1,2019,21,1,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-21,2019-01-21,103/2019
31,5,2024,RRC,104,21,1,2019,14,2,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-21,2019-02-14,104/2019
31,5,2024,RRC,105,7,2,2019,24,4,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-02-07,2019-04-24,105/2019
31,5,2024,RRC,107,21,1,2019,18,6,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-21,2019-06-18,107/2019
31,5,2024,RRC,108,21,1,2019,1,4,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-21,2019-04-01,108/2019
31,5,2024,RRC,109,22,1,2019,13,5,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-22,2019-05-13,109/2019
31,5,2024,RRC,110,22,1,2019,22,1,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-22,2019-01-22,110/2019
31,5,2024,RRC,111,21,1,2019,22,2,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-21,2019-02-22,111/2019
31,5,2024,RRC,113,22,1,2019,20,2,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-22,2019-02-20,113/2019
31,5,2024,RRC,115,22,1,2019,5,2,2019,Active,,,,Recommended for dismissal,2024-05-31,2019-01-22,2019-02-05,115/2019
31,5,2024,RRC,E1710,16,11,2023,20,11,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-11-16,2023-11-20,E1710/2023
31,5,2024,RRC,E1711,16,11,2023,20,11,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-11-16,2023-11-20,E1711/2023
31,5,2024,RRC,E1714,16,11,2023,4,12,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-11-16,2023-12-04,E1714/2023
31,5,2024,RRC,E1717,16,11,2023,20,11,2023,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-11-16,2023-11-20,E1717/2023
31,5,2024,RRC,E1697,8,11,2023,22,12,2023,Active:Party to file docs,,,,Needs next date,2024-05-31,2023-11-08,2023-12-22,E1697/2023
31,5,2024,RRC,E1701,14,11,2023,8,5,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-11-14,2024-05-08,E1701/2023
31,5,2024,RRC,E1703,14,11,2023,19,1,2024,Active:Interparty hearing,,,,Needs next date,2024-05-31,2023-11-14,2024-01-19,E1703/2023
31,5,2024,RRC,E1707,15,11,2023,20,11,2023,Active,,,,Needs next date,2024-05-31,2023-11-15,2023-11-20,E1707/2023
